Date,Open,High,Low,Close,Adj Close,Volume
2020-02-21,470.000000,538.880005,448.029999,500.100006,496.944305,11290190
2020-02-24,487.130005,494.970001,458.000000,462.000000,459.084717,5028162
2020-02-25,440.000000,477.000000,435.059998,468.989990,466.030579,3484208
2020-02-26,461.000000,465.000000,438.000000,443.010010,440.214569,2677434
2020-02-27,446.470001,446.470001,417.170013,418.160004,415.521362,2580896
2020-02-28,410.000000,442.500000,404.000000,433.000000,430.267700,2587394
2020-03-02,433.390015,447.649994,422.000000,443.630005,440.830658,1885147
2020-03-03,449.880005,453.040009,432.029999,432.100006,429.373383,1655589
2020-03-04,424.399994,427.000000,415.010010,421.519989,418.860138,1356538
2020-03-05,426.679993,444.000000,426.679993,435.230011,432.483643,1343904
2020-03-06,429.589996,468.000000,426.049988,458.029999,455.139771,1953709
2020-03-09,450.000000,452.140015,438.880005,438.880005,436.110626,1247205
2020-03-10,438.890015,447.980011,422.200012,447.630005,444.805420,1528095
2020-03-11,445.010010,448.000000,430.109985,431.000000,428.280334,1008877
2020-03-12,421.000000,424.399994,413.019989,416.589996,413.961273,976464
2020-03-13,390.000000,412.850006,388.010010,404.500000,401.947540,983895
2020-03-16,409.500000,409.660004,374.179993,374.970001,372.603912,1210667
2020-03-17,381.000000,384.899994,348.279999,365.920013,363.611023,1120005
2020-03-18,367.989990,372.549988,348.010010,348.500000,346.300934,898179
2020-03-19,346.000000,353.000000,333.390015,348.000000,345.804077,1054321
2020-03-20,351.989990,353.989990,345.000000,351.190002,348.973938,622626
2020-03-23,340.000000,340.000000,325.570007,326.160004,324.101898,815473
2020-03-24,335.100006,337.450012,319.600006,332.089996,329.994476,631858
2020-03-25,338.000000,355.100006,338.000000,345.700012,343.518616,948076
2020-03-26,340.220001,341.989990,332.450012,335.200012,333.084869,547569
2020-03-27,338.890015,342.989990,327.410004,329.829987,327.748718,658888
2020-03-30,319.500000,345.489990,315.109985,344.000000,341.829315,1144082
2020-03-31,343.149994,351.690002,343.070007,345.500000,343.319855,635586
2020-04-01,345.000000,351.510010,338.100006,340.119995,337.973785,520107
2020-04-02,340.200012,349.619995,335.000000,348.500000,346.300934,664961
2020-04-03,347.670013,347.670013,338.000000,338.000000,335.867188,598647
2020-04-07,343.000000,347.589996,340.000000,340.000000,337.854553,600124
2020-04-08,338.000000,338.500000,333.510010,333.589996,331.485016,441554
2020-04-09,335.899994,338.579987,333.899994,335.899994,333.780426,353455
2020-04-10,337.000000,337.000000,321.000000,322.600006,320.564331,488803
2020-04-13,319.010010,325.940002,315.260010,320.000000,317.980774,467031
2020-04-14,320.049988,329.700012,319.000000,328.640015,326.566254,324991
2020-04-15,328.000000,337.799988,327.109985,331.440002,329.348572,419138
2020-04-16,332.500000,333.950012,325.299988,331.000000,328.911346,205144
2020-04-17,332.709991,336.549988,328.200012,331.019989,328.931213,294012
2020-04-20,328.000000,330.000000,320.079987,322.579987,320.544464,439076
2020-04-21,320.000000,323.480011,318.049988,319.200012,317.185822,239176
2020-04-22,318.149994,329.480011,316.730011,326.700012,324.638489,383785
2020-04-23,326.700012,355.600006,326.700012,349.220001,347.016388,834814
2020-04-24,350.000000,369.519989,343.220001,366.570007,364.256897,1100435
2020-04-27,365.010010,375.660004,358.799988,360.179993,357.907196,588975
2020-04-28,350.000000,351.799988,316.200012,339.339996,337.198730,1107550
2020-04-29,333.109985,348.600006,330.329987,339.380005,337.238464,510046
2020-04-30,342.519989,380.000000,342.000000,376.000000,373.627380,1074188
2020-05-06,368.989990,386.700012,366.809998,384.700012,382.272491,792551
2020-05-07,382.000000,384.000000,368.279999,368.579987,366.254211,560170
2020-05-08,372.000000,376.880005,370.000000,374.700012,372.335602,595771
2020-05-11,374.700012,378.000000,364.700012,365.369995,363.064453,428794
2020-05-12,365.369995,367.589996,349.000000,357.989990,355.731018,584041
2020-05-13,356.329987,374.970001,356.000000,372.920013,370.566833,617731
2020-05-14,372.500000,376.000000,369.799988,374.589996,372.226288,406505
2020-05-15,375.140015,383.000000,373.299988,376.619995,374.243469,472561
2020-05-18,378.829987,382.390015,361.130005,364.980011,362.676941,614539
2020-05-19,371.000000,385.000000,365.339996,382.700012,380.285126,667184
2020-05-20,384.510010,400.000000,381.130005,392.200012,389.725159,1008780
2020-05-21,393.010010,404.690002,386.029999,387.989990,385.541748,763013
2020-05-22,388.899994,398.000000,373.100006,380.079987,377.681641,626285
2020-05-25,380.000000,383.299988,370.179993,377.299988,374.919159,454041
2020-05-26,384.000000,399.750000,381.510010,399.619995,397.098358,707497
2020-05-27,398.500000,404.000000,387.329987,388.429993,385.978943,501822
2020-05-28,389.000000,391.980011,375.649994,383.380005,380.960815,484421
2020-05-29,383.390015,398.500000,382.040009,393.500000,391.016968,601175
2020-06-01,398.100006,412.880005,398.000000,405.790009,403.229431,744810
2020-06-02,405.970001,408.880005,400.109985,405.779999,403.219482,423340
2020-06-03,408.000000,413.119995,398.000000,400.000000,397.475952,422872
2020-06-04,401.119995,408.299988,398.000000,404.390015,401.838257,319735
2020-06-05,402.000000,403.000000,391.049988,392.799988,390.321381,484875
2020-06-08,393.000000,398.200012,377.000000,377.549988,375.167603,876358
2020-06-09,378.549988,383.000000,370.799988,377.600006,375.217316,410636
2020-06-10,373.359985,385.000000,373.359985,374.049988,371.689667,331059
2020-06-11,373.000000,378.799988,370.000000,371.679993,369.334625,337310
2020-06-12,364.899994,369.880005,361.299988,367.000000,364.684174,341426
2020-06-15,366.649994,377.769989,362.010010,370.980011,368.639069,331819
2020-06-16,375.000000,376.980011,366.109985,375.480011,373.110687,511117
2020-06-17,375.500000,377.000000,369.279999,373.799988,371.441254,377901
2020-06-18,372.989990,376.500000,371.010010,375.880005,373.508148,360005
2020-06-19,375.989990,385.600006,373.399994,383.899994,381.477539,432582
2020-06-22,388.000000,388.000000,372.010010,375.470001,373.100739,631679
2020-06-23,374.799988,375.450012,368.279999,371.769989,369.424072,476746
2020-06-24,370.260010,379.019989,369.000000,376.690002,374.313049,568427
2020-06-29,373.500000,376.510010,366.500000,368.989990,366.661621,433058
2020-06-30,371.799988,379.519989,369.130005,376.899994,374.521729,469111
2020-07-01,384.399994,408.799988,384.000000,405.670013,403.110168,1190119
2020-07-02,400.980011,407.859985,399.000000,406.500000,403.934937,626459
2020-07-03,407.250000,410.799988,393.299988,400.109985,397.585236,505652
2020-07-06,395.609985,423.980011,395.600006,417.000000,414.368683,873619
2020-07-07,418.000000,445.989990,411.160004,437.000000,434.242462,1111186
2020-07-08,433.489990,449.500000,431.299988,443.000000,440.204590,603775
2020-07-09,438.500000,458.000000,438.309998,454.200012,451.333923,720072
2020-07-10,450.000000,452.790009,433.000000,438.000000,437.161133,576954
2020-07-13,437.100006,448.980011,437.000000,440.359985,439.516602,526111
2020-07-14,440.500000,449.989990,428.000000,433.000000,432.170715,694021
2020-07-15,431.500000,439.899994,405.799988,414.149994,413.356812,895269
2020-07-16,419.929993,420.220001,384.989990,386.049988,385.310608,614967
2020-07-17,378.000000,394.980011,376.000000,380.079987,379.352051,525504
2020-07-20,382.200012,412.000000,380.079987,406.309998,405.531830,548977
2020-07-21,405.799988,409.079987,398.989990,406.299988,405.521851,343833
2020-07-22,401.799988,412.000000,401.000000,404.000000,403.226257,306707
2020-07-23,403.500000,403.500000,385.000000,400.000000,399.233917,619737
2020-07-24,397.000000,397.000000,376.000000,377.200012,376.477600,495428
2020-07-27,378.880005,389.029999,376.510010,382.230011,381.497955,289051
2020-07-28,386.000000,388.950012,381.220001,384.540009,383.803528,216219
2020-07-29,384.500000,399.000000,378.890015,397.070007,396.309540,373819
2020-07-30,396.959991,402.799988,390.000000,392.000000,391.249237,405614
2020-07-31,388.549988,396.880005,386.500000,391.399994,390.650391,473973
2020-08-03,380.000000,399.779999,377.410004,398.000000,397.237732,713014
2020-08-04,397.000000,401.980011,391.100006,399.000000,398.235840,521431
2020-08-05,401.440002,422.440002,393.130005,418.500000,417.698486,629892
2020-08-06,419.989990,423.929993,415.019989,421.350006,420.543030,444041
2020-08-07,416.500000,420.149994,403.000000,404.670013,403.894989,456189
2020-08-10,402.670013,408.170013,390.010010,397.929993,397.167877,333025
2020-08-11,400.519989,422.899994,395.660004,417.549988,416.750275,816344
2020-08-12,418.350006,426.660004,411.410004,424.109985,423.297729,525706
2020-08-13,423.880005,444.000000,417.000000,440.000000,439.157318,653798
2020-08-14,439.000000,444.640015,430.250000,433.799988,432.969177,383727
2020-08-17,433.390015,438.570007,409.660004,419.489990,418.686584,545579
2020-08-18,418.989990,426.000000,413.000000,421.480011,420.672791,258099
2020-08-19,418.000000,422.750000,407.779999,408.480011,407.697693,223056
2020-08-20,404.549988,413.989990,401.309998,408.829987,408.046997,166073
2020-08-21,404.500000,416.859985,392.000000,411.179993,410.392487,716221
2020-08-24,408.950012,434.899994,408.950012,427.970001,427.150360,468199
2020-08-25,424.649994,431.779999,416.940002,417.899994,417.099640,248562
2020-08-26,413.220001,419.989990,398.579987,401.600006,400.830841,241652
2020-08-27,409.850006,409.850006,398.559998,402.790009,402.018585,157977
2020-08-28,401.010010,403.890015,396.799988,398.019989,397.257690,232813
2020-08-31,427.000000,477.619995,427.000000,465.000000,464.109436,1691262
2020-09-01,479.000000,496.000000,468.200012,485.000000,484.071106,1388090
2020-09-02,478.959991,507.089996,478.959991,493.980011,493.033936,845311
2020-09-03,495.000000,502.000000,481.010010,491.929993,490.987854,488175
2020-09-04,483.489990,495.980011,478.000000,491.730011,490.788239,285351
2020-09-07,489.149994,506.660004,480.880005,490.769989,489.830048,468602
2020-09-08,490.049988,520.429993,490.049988,507.799988,506.827454,852065
2020-09-09,507.200012,522.960022,495.000000,502.000000,501.038574,684840
2020-09-10,503.709991,512.380005,485.019989,498.299988,497.345642,475460
2020-09-11,498.730011,517.000000,493.000000,513.000000,512.017517,437331
2020-09-14,522.130005,530.500000,512.090027,528.219971,527.208313,494988
2020-09-15,524.979980,538.000000,505.399994,509.000000,508.025146,444316
2020-09-16,514.090027,548.000000,509.000000,544.979980,543.936218,537619
2020-09-17,544.900024,556.479980,536.000000,548.989990,547.938538,485735
2020-09-18,548.989990,595.010010,539.989990,590.989990,589.858093,828222
2020-09-21,597.400024,597.400024,570.099976,594.000000,592.862366,399175
2020-09-22,593.979980,595.979980,570.330017,588.200012,587.073486,418055
2020-09-23,586.880005,603.000000,571.000000,599.000000,597.852783,432771
2020-09-24,593.809998,607.010010,577.369995,582.630005,581.514160,303025
